,Unnamed: 0,Team,Actual_W,Actual_L,Predicted_W,Predicted_L,Predicted_Total,Error_Rate
0,0,Miami Heat,53.0,29.0,35.0,47.0,82.0,0.21951219512195122
1,1,Boston Celtics,51.0,31.0,38.0,44.0,82.0,0.15853658536585366
2,2,Milwaukee Bucks,51.0,31.0,42.0,40.0,82.0,0.10975609756097561
3,3,Philadelphia 76ers,51.0,31.0,47.0,35.0,82.0,0.04878048780487805
4,4,Toronto Raptors,48.0,34.0,48.0,34.0,82.0,0.0
5,5,Chicago Bulls,46.0,36.0,52.0,30.0,82.0,0.07317073170731707
6,6,Brooklyn Nets,44.0,38.0,39.0,43.0,82.0,0.06097560975609756
7,7,Cleveland Cavaliers,44.0,38.0,62.0,20.0,82.0,0.21951219512195122
8,8,Atlanta Hawks,43.0,39.0,38.0,44.0,82.0,0.06097560975609756
9,9,Charlotte Hornets,43.0,39.0,40.0,42.0,82.0,0.036585365853658534
10,10,New York Knicks,37.0,45.0,27.0,55.0,82.0,0.12195121951219512
11,11,Washington Wizards,35.0,47.0,26.0,56.0,82.0,0.10975609756097561
12,12,Indiana Pacers,25.0,57.0,38.0,44.0,82.0,0.15853658536585366
13,13,Detroit Pistons,23.0,59.0,42.0,40.0,82.0,0.23170731707317074
14,14,Orlando Magic,22.0,60.0,40.0,42.0,82.0,0.21951219512195122
15,15,Phoenix Suns,64.0,18.0,46.0,36.0,82.0,0.21951219512195122
16,16,Memphis Grizzlies,56.0,26.0,44.0,38.0,82.0,0.14634146341463414
17,17,Golden State Warriors,53.0,29.0,59.0,23.0,82.0,0.07317073170731707
18,18,Dallas Mavericks,52.0,30.0,38.0,44.0,82.0,0.17073170731707318
19,19,Utah Jazz,49.0,33.0,40.0,42.0,82.0,0.10975609756097561
20,20,Denver Nuggets,48.0,34.0,60.0,22.0,82.0,0.14634146341463414
21,21,Minnesota Timberwolves,46.0,36.0,46.0,36.0,82.0,0.0
22,22,Los Angeles Clippers,42.0,40.0,32.0,50.0,82.0,0.12195121951219512
23,23,New Orleans Pelicans,36.0,46.0,37.0,45.0,82.0,0.012195121951219513
24,24,San Antonio Spurs,34.0,48.0,38.0,44.0,82.0,0.04878048780487805
25,25,Los Angeles Lakers,33.0,49.0,36.0,46.0,82.0,0.036585365853658534
26,26,Sacramento Kings,30.0,52.0,31.0,51.0,82.0,0.012195121951219513
27,27,Portland Trail Blazers,27.0,55.0,27.0,55.0,82.0,0.0
28,28,Oklahoma City Thunder,24.0,58.0,35.0,47.0,82.0,0.13414634146341464
29,29,Houston Rockets,20.0,62.0,47.0,35.0,82.0,0.32926829268292684
