,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
0,Boston Celtics,24.0,243.1,120.8,42.6,86.3,0.494,16.8,41.6,0.404,18.8,22.1,0.849,8.0,34.2,42.2,27.0,6.1,5.2,13.9,20.5
1,Sacramento Kings,22.0,241.1,119.6,43.1,87.5,0.493,13.5,37.5,0.362,19.8,24.9,0.795,8.0,34.2,42.2,28.1,7.2,3.4,15.1,21.0
2,Golden State Warriors,24.0,241.0,117.7,43.1,89.0,0.484,16.7,43.6,0.382,14.8,18.7,0.791,8.9,33.7,42.6,30.0,7.1,4.1,17.1,23.0
3,Utah Jazz,26.0,241.9,117.7,42.7,89.5,0.477,14.6,39.1,0.374,17.6,22.6,0.779,11.8,32.3,44.1,27.1,7.3,4.9,16.0,21.6
4,New Orleans Pelicans,23.0,243.3,117.3,43.3,89.3,0.485,11.5,30.7,0.375,19.2,24.2,0.794,11.3,33.9,45.1,27.1,8.8,4.5,14.6,19.6
5,Oklahoma City Thunder,23.0,245.4,116.8,44.0,94.7,0.464,11.5,34.0,0.338,17.4,22.2,0.784,12.2,32.4,44.6,24.2,8.2,5.9,14.1,21.9
6,Phoenix Suns,23.0,241.1,116.7,43.7,90.7,0.481,12.8,33.3,0.386,16.6,20.5,0.811,11.7,31.6,43.3,27.6,7.3,5.6,13.5,21.9
7,Memphis Grizzlies,23.0,242.2,115.3,42.7,92.7,0.46,12.3,33.8,0.366,17.7,25.3,0.699,14.2,34.8,49.0,24.3,7.0,5.3,14.7,20.0
8,Indiana Pacers,23.0,240.0,115.1,40.8,90.9,0.449,14.3,40.1,0.355,19.3,24.2,0.797,10.9,32.4,43.3,27.7,8.3,6.4,15.7,22.2
9,Minnesota Timberwolves,23.0,241.1,115.0,42.3,87.5,0.483,11.1,34.0,0.326,19.3,24.4,0.792,9.8,33.3,43.1,26.5,8.3,5.9,16.6,22.3
10,Los Angeles Lakers,22.0,241.1,114.8,42.3,89.4,0.473,9.9,30.0,0.33,20.2,25.4,0.797,9.7,36.2,46.0,25.1,6.8,5.2,14.5,18.7
11,Denver Nuggets,23.0,241.1,114.7,43.2,86.4,0.5,12.3,30.9,0.397,16.1,21.7,0.745,10.4,32.7,43.1,27.9,7.1,4.3,15.3,19.4
12,Atlanta Hawks,23.0,242.2,114.0,43.3,92.4,0.469,9.7,29.6,0.326,17.7,21.5,0.822,11.1,33.5,44.6,23.8,7.3,4.8,13.2,19.9
13,New York Knicks,24.0,243.1,113.6,41.7,91.8,0.454,10.7,34.0,0.313,19.6,24.8,0.793,12.7,34.1,46.8,23.5,7.0,4.5,14.0,21.8
14,Milwaukee Bucks,22.0,242.3,112.7,41.3,89.7,0.46,13.1,37.3,0.352,17.0,23.5,0.724,11.6,36.8,48.4,24.6,6.6,6.4,14.9,19.1
15,Chicago Bulls,23.0,241.1,111.5,41.1,87.6,0.469,10.1,28.7,0.354,19.2,23.3,0.825,9.6,33.3,42.9,24.3,7.5,5.2,14.6,20.2
16,Cleveland Cavaliers,24.0,245.2,111.3,40.3,84.8,0.475,12.1,32.1,0.378,18.7,23.2,0.808,9.7,33.4,43.1,23.5,6.3,4.2,15.1,19.4
17,Washington Wizards,24.0,242.1,111.0,41.5,88.1,0.471,10.9,32.2,0.338,17.1,22.2,0.769,9.8,34.9,44.7,24.8,6.5,6.2,13.3,20.2
