Unnamed: 0,Team,Predicted_W,Predicted_L,Predicted_Total,Error_Rate
0,Boston Celtics,1.0,0.0,1.0,0.0
1,Washington Wizards,0.0,1.0,1.0,0.024390243902439025
2,Atlanta Hawks,1.0,0.0,1.0,0.012195121951219513
3,Toronto Raptors,1.0,0.0,1.0,0.012195121951219513
4,Orlando Magic,0.0,1.0,1.0,0.024390243902439025
5,New York Knicks,0.0,1.0,1.0,0.024390243902439025
6,Milwaukee Bucks,0.0,0.0,0.0,0.024390243902439025
7,Miami Heat,1.0,0.0,1.0,0.012195121951219513
8,Indiana Pacers,1.0,0.0,1.0,0.012195121951219513
9,Cleveland Cavaliers,0.0,1.0,1.0,0.024390243902439025
10,Brooklyn Nets,1.0,0.0,1.0,0.012195121951219513
11,Chicago Bulls,0.0,1.0,1.0,0.024390243902439025
12,Charlotte Hornets,0.0,1.0,1.0,0.024390243902439025
13,Detroit Pistons,1.0,0.0,1.0,0.012195121951219513
14,Philadelphia 76ers,0.0,1.0,1.0,0.024390243902439025
15,Golden State Warriors,1.0,0.0,1.0,0.0
16,Los Angeles Clippers,0.0,0.0,0.0,0.024390243902439025
17,Houston Rockets,0.0,1.0,1.0,0.024390243902439025
18,Utah Jazz,1.0,0.0,1.0,0.012195121951219513
19,San Antonio Spurs,1.0,0.0,1.0,0.012195121951219513
20,Sacramento Kings,1.0,0.0,1.0,0.012195121951219513
21,Portland Trail Blazers,0.0,1.0,1.0,0.024390243902439025
22,Phoenix Suns,1.0,0.0,1.0,0.012195121951219513
23,Oklahoma City Thunder,0.0,1.0,1.0,0.024390243902439025
24,New Orleans Pelicans,0.0,1.0,1.0,0.024390243902439025
25,Minnesota Timberwolves,1.0,0.0,1.0,0.012195121951219513
26,Dallas Mavericks,0.0,1.0,1.0,0.024390243902439025
27,Denver Nuggets,0.0,1.0,1.0,0.024390243902439025
28,Memphis Grizzlies,1.0,0.0,1.0,0.012195121951219513
29,Los Angeles Lakers,0.0,1.0,1.0,0.024390243902439025
