,Team,Actual_W,Actual_L
0,Boston Celtics,21.0,5.0
1,Milwaukee Bucks,18.0,6.0
2,Cleveland Cavaliers,16.0,9.0
3,Brooklyn Nets,14.0,12.0
4,Atlanta Hawks,13.0,12.0
5,Indiana Pacers,13.0,12.0
6,Toronto Raptors,13.0,12.0
7,Philadelphia 76ers,12.0,12.0
8,New York Knicks,12.0,13.0
9,Miami Heat,11.0,14.0
10,Washington Wizards,11.0,14.0
11,Chicago Bulls,10.0,14.0
12,Charlotte Hornets,7.0,18.0
13,Detroit Pistons,7.0,20.0
14,Orlando Magic,6.0,20.0
15,New Orleans Pelicans,16.0,8.0
16,Phoenix Suns,16.0,9.0
17,Memphis Grizzlies,16.0,9.0
18,Denver Nuggets,14.0,10.0
19,Sacramento Kings,13.0,10.0
20,Utah Jazz,15.0,12.0
21,Dallas Mavericks,13.0,11.0
22,Portland Trail Blazers,13.0,11.0
23,Los Angeles Clippers,14.0,12.0
24,Golden State Warriors,13.0,13.0
25,Minnesota Timberwolves,12.0,12.0
26,Oklahoma City Thunder,11.0,14.0
27,Los Angeles Lakers,10.0,14.0
28,Houston Rockets,7.0,17.0
29,San Antonio Spurs,6.0,18.0
