Date,Away,Home,Predicted Winner
Oct-19-2022,Orlando Magic,Detroit Pistons,Detroit Pistons
Oct-19-2022,Washington Wizards,Indiana Pacers,Indiana Pacers
Oct-19-2022,Houston Rockets,Atlanta Hawks,Atlanta Hawks
Oct-19-2022,New Orleans Pelicans,Brooklyn Nets,Brooklyn Nets
Oct-19-2022,New York Knicks,Memphis Grizzlies,Memphis Grizzlies
Oct-19-2022,Chicago Bulls,Miami Heat,Miami Heat
Oct-19-2022,Cleveland Cavaliers,Toronto Raptors,Toronto Raptors
Oct-19-2022,Oklahoma City Thunder,Minnesota Timberwolves,Minnesota Timberwolves
Oct-19-2022,Charlotte Hornets,San Antonio Spurs,San Antonio Spurs
Oct-19-2022,Denver Nuggets,Utah Jazz,Utah Jazz
Oct-19-2022,Dallas Mavericks,Phoenix Suns,Phoenix Suns
Oct-19-2022,Portland Trail Blazers,Sacramento Kings,Sacramento Kings
